Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CMNISD,Nickel Spot Price (US Dollars/Ton),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1900 To Sep 1926<BR>Monthly From Oct 1926 To Dec 1987<BR>Daily From Dec 1987 To Sep 2020<BR>,"Sources: Until 1980, data are for the INCO price, c.i.f. Far East and American ports from the Metal Bulletin in US cents per pound.  From 1980 on, data are from the London Metal Exchange, melting grade, spot, c.i.f. North European Ports from 1980. <br /><br />Notes: Prices before 1980 were converted using a short ton of 2000 pounds.",
Date,Ticker,Open,High,Low,Close,Period_Average,Close_Percent_Change,Period_Change,Annual_Percent_Change
01/03/1989,CMNISD,,,,18800,18800,,,
01/04/1989,CMNISD,,,,19000,19000,0.0106382978723404,200,
01/05/1989,CMNISD,,,,19000,19000,0,0,
01/06/1989,CMNISD,,,,19000,19000,0,0,
01/09/1989,CMNISD,,,,16200,16200,-0.147368421052632,-2800,
01/10/1989,CMNISD,,,,17100,17100,0.0555555555555556,900,
01/11/1989,CMNISD,,,,16400,16400,-0.0409356725146199,-700,
01/12/1989,CMNISD,,,,16750,16750,0.0213414634146341,350,
01/13/1989,CMNISD,,,,16300,16300,-0.026865671641791,-450,
01/16/1989,CMNISD,,,,17200,17200,0.0552147239263804,900,
01/17/1989,CMNISD,,,,17150,17150,-0.00290697674418605,-50,
01/18/1989,CMNISD,,,,17450,17450,0.0174927113702624,300,
01/19/1989,CMNISD,,,,17600,17600,0.00859598853868195,150,
01/20/1989,CMNISD,,,,18600,18600,0.0568181818181818,1000,
01/23/1989,CMNISD,,,,18900,18900,0.0161290322580645,300,
01/24/1989,CMNISD,,,,19300,19300,0.0211640211640212,400,
01/25/1989,CMNISD,,,,18700,18700,-0.0310880829015544,-600,
01/26/1989,CMNISD,,,,18550,18550,-0.00802139037433155,-150,
01/27/1989,CMNISD,,,,18550,18550,0,0,
01/30/1989,CMNISD,,,,18550,18550,0,0,
01/31/1989,CMNISD,,,,18550,18550,0,0,
02/01/1989,CMNISD,,,,18550,18550,0,0,
02/02/1989,CMNISD,,,,18550,18550,0,0,
02/03/1989,CMNISD,,,,17950,17950,-0.032345013477089,-600,
02/06/1989,CMNISD,,,,18100,18100,0.00835654596100279,150,
02/07/1989,CMNISD,,,,18100,18100,0,0,
02/08/1989,CMNISD,,,,18400,18400,0.0165745856353591,300,
02/09/1989,CMNISD,,,,18250,18250,-0.00815217391304348,-150,
02/10/1989,CMNISD,,,,18900,18900,0.0356164383561644,650,
02/13/1989,CMNISD,,,,19150,19150,0.0132275132275132,250,
02/14/1989,CMNISD,,,,18900,18900,-0.0130548302872063,-250,
02/15/1989,CMNISD,,,,18400,18400,-0.0264550264550265,-500,
02/16/1989,CMNISD,,,,18350,18350,-0.00271739130434783,-50,
02/17/1989,CMNISD,,,,18400,18400,0.00272479564032698,50,
02/20/1989,CMNISD,,,,18900,18900,0.0271739130434783,500,
02/21/1989,CMNISD,,,,19000,19000,0.00529100529100529,100,
02/22/1989,CMNISD,,,,19000,19000,0,0,
02/23/1989,CMNISD,,,,19010,19010,0.000526315789473684,10,
02/24/1989,CMNISD,,,,18950,18950,-0.00315623356128353,-60,
02/27/1989,CMNISD,,,,18700,18700,-0.0131926121372032,-250,
02/28/1989,CMNISD,,,,18700,18700,0,0,
03/01/1989,CMNISD,,,,18800,18800,0.0053475935828877,100,
03/02/1989,CMNISD,,,,18800,18800,0,0,
03/03/1989,CMNISD,,,,19100,19100,0.0159574468085106,300,
03/06/1989,CMNISD,,,,19100,19100,0,0,
03/07/1989,CMNISD,,,,18800,18800,-0.0157068062827225,-300,
03/08/1989,CMNISD,,,,18800,18800,0,0,
03/09/1989,CMNISD,,,,17800,17800,-0.0531914893617021,-1000,
03/10/1989,CMNISD,,,,17800,17800,0,0,
03/13/1989,CMNISD,,,,16550,16550,-0.0702247191011236,-1250,
03/14/1989,CMNISD,,,,16550,16550,0,0,
03/15/1989,CMNISD,,,,17100,17100,0.0332326283987915,550,
03/16/1989,CMNISD,,,,17100,17100,0,0,
03/17/1989,CMNISD,,,,17500,17500,0.0233918128654971,400,
03/20/1989,CMNISD,,,,17600,17600,0.00571428571428571,100,
03/21/1989,CMNISD,,,,17300,17300,-0.0170454545454545,-300,
03/22/1989,CMNISD,,,,16450,16450,-0.0491329479768786,-850,
03/23/1989,CMNISD,,,,16450,16450,0,0,
03/28/1989,CMNISD,,,,16300,16300,-0.00911854103343465,-150,
03/29/1989,CMNISD,,,,16300,16300,0,0,
03/30/1989,CMNISD,,,,14950,14950,-0.0828220858895705,-1350,
03/31/1989,CMNISD,,,,14950,14950,0,0,
04/03/1989,CMNISD,,,,15600,15600,0.0434782608695652,650,
04/04/1989,CMNISD,,,,15300,15300,-0.0192307692307692,-300,
04/05/1989,CMNISD,,,,15300,15300,0,0,
04/06/1989,CMNISD,,,,15400,15400,0.0065359477124183,100,
04/07/1989,CMNISD,,,,15400,15400,0,0,
04/10/1989,CMNISD,,,,15050,15050,-0.0227272727272727,-350,
04/11/1989,CMNISD,,,,14850,14850,-0.0132890365448505,-200,
04/12/1989,CMNISD,,,,14500,14500,-0.0235690235690236,-350,
04/13/1989,CMNISD,,,,14500,14500,0,0,
04/14/1989,CMNISD,,,,14600,14600,0.00689655172413793,100,
04/17/1989,CMNISD,,,,14600,14600,0,0,
04/18/1989,CMNISD,,,,14800,14800,0.0136986301369863,200,
04/19/1989,CMNISD,,,,14800,14800,0,0,
04/20/1989,CMNISD,,,,15750,15750,0.0641891891891892,950,
04/21/1989,CMNISD,,,,15800,15800,0.00317460317460317,50,
04/24/1989,CMNISD,,,,16500,16500,0.0443037974683544,700,
