Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1751/02/28,,,,,,,,,,,,,23.3576777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/03/31,,,,,,,,,,,,,23.5777366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/04/30,,,,,,,,,,,,,23.7349215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/05/31,,,,,,,,,,,,,24.2693502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/06/30,,,,,,,,,,,,,24.520846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/07/31,,,,,,,,,,,,,22.9804339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/08/31,,,,,,,,,,,,,23.4519886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/09/30,,,,,,,,,,,,,23.5462996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/10/31,,,,,,,,,,,,,23.6406105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/11/30,,,,,,,,,,,,,23.9235434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751/12/31,,,,,,,,,,,,,23.9864173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/01/31,,,,,,,,,,,,,23.5462996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/02/29,,,,,,,,,,,,,23.4205516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/03/31,,,,,,,,,,,,,23.4834256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/04/30,,,,,,,,,,,,,23.7349215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/05/31,,,,,,,,,,,,,23.8921064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/06/30,,,,,,,,,,,,,24.2693502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/07/31,,,,,,,,,,,,,23.5148626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/08/31,,,,,,,,,,,,,23.7663584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/09/30,,,,,,,,,,,,,24.1436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/10/31,,,,,,,,,,,,,24.1436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/11/30,,,,,,,,,,,,,24.457972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752/12/31,,,,,,,,,,,,,24.7566235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/01/31,,,,,,,,,,,,,24.1436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/02/28,,,,,,,,,,,,,24.3322241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/03/31,,,,,,,,,,,,,24.3950981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/04/30,,,,,,,,,,,,,24.3950981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/05/31,,,,,,,,,,,,,24.6465939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/06/30,,,,,,,,,,,,,24.7723419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/07/31,,,,,,,,,,,,,24.2064762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/08/31,,,,,,,,,,,,,24.1750392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/09/30,,,,,,,,,,,,,24.2064762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/10/31,,,,,,,,,,,,,24.1121653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/11/30,,,,,,,,,,,,,24.3007871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753/12/31,,,,,,,,,,,,,24.3793797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/01/31,,,,,,,,,,,,,23.7663584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/02/28,,,,,,,,,,,,,23.6091735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/03/31,,,,,,,,,,,,,23.4519886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/04/30,,,,,,,,,,,,,24.0492913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/05/31,,,,,,,,,,,,,23.9864173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/06/30,,,,,,,,,,,,,24.2693502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/07/31,,,,,,,,,,,,,23.5777366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/08/31,,,,,,,,,,,,,23.6091735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/09/30,,,,,,,,,,,,,23.5777366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/10/31,,,,,,,,,,,,,23.3262407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/11/30,,,,,,,,,,,,,23.1061818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754/12/31,,,,,,,,,,,,,23.2948037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/01/31,,,,,,,,,,,,,22.0687614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/02/28,,,,,,,,,,,,,22.2573833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/03/31,,,,,,,,,,,,,21.7543916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/04/30,,,,,,,,,,,,,21.7229546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/05/31,,,,,,,,,,,,,22.0058874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/06/30,,,,,,,,,,,,,22.0058874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/07/31,,,,,,,,,,,,,20.999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/08/31,,,,,,,,,,,,,20.8741561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/09/30,,,,,,,,,,,,,21.031341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/10/31,,,,,,,,,,,,,20.8427191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/11/30,,,,,,,,,,,,,18.6735673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755/12/31,,,,,,,,,,,,,18.7050043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/01/31,,,,,,,,,,,,,17.8247688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/02/29,,,,,,,,,,,,,17.9505168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/03/31,,,,,,,,,,,,,17.9190798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/04/30,,,,,,,,,,,,,17.8562058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/05/31,,,,,,,,,,,,,17.447525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/06/30,,,,,,,,,,,,,17.2274662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/07/31,,,,,,,,,,,,,16.8187854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/08/31,,,,,,,,,,,,,16.7559114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/09/30,,,,,,,,,,,,,16.7559114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/10/31,,,,,,,,,,,,,16.8187854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/11/30,,,,,,,,,,,,,16.9130964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756/12/31,,,,,,,,,,,,,17.1017183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/01/31,,,,,,,,,,,,,16.7244745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/02/28,,,,,,,,,,,,,17.1331552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/03/31,,,,,,,,,,,,,17.510399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/04/30,,,,,,,,,,,,,17.541836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/05/31,,,,,,,,,,,,,17.8562058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/06/30,,,,,,,,,,,,,16.7244745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/07/31,,,,,,,,,,,,,16.7873484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/08/31,,,,,,,,,,,,,16.9130964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/09/30,,,,,,,,,,,,,17.8247688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/10/31,,,,,,,,,,,,,17.6675839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/11/30,,,,,,,,,,,,,17.7933319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757/12/31,,,,,,,,,,,,,17.541836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/01/31,,,,,,,,,,,,,17.4160881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/02/28,,,,,,,,,,,,,18.7364413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/03/31,,,,,,,,,,,,,18.6106934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/04/30,,,,,,,,,,,,,18.5163824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/05/31,,,,,,,,,,,,,18.4849455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/06/30,,,,,,,,,,,,,18.3591975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/07/31,,,,,,,,,,,,,17.2274662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/08/31,,,,,,,,,,,,,16.7559114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/09/30,,,,,,,,,,,,,17.0388443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/10/31,,,,,,,,,,,,,16.8816594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/11/30,,,,,,,,,,,,,17.1645922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758/12/31,,,,,,,,,,,,,17.1017183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/01/31,,,,,,,,,,,,,16.8502224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/02/28,,,,,,,,,,,,,16.8816594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/03/31,,,,,,,,,,,,,16.5987265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/04/30,,,,,,,,,,,,,16.2529197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/05/31,,,,,,,,,,,,,16.1586088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/06/30,,,,,,,,,,,,,15.812802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/07/31,,,,,,,,,,,,,15.2783733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/08/31,,,,,,,,,,,,,15.718491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/09/30,,,,,,,,,,,,,15.8756759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/10/31,,,,,,,,,,,,,16.4101046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/11/30,,,,,,,,,,,,,16.9130964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759/12/31,,,,,,,,,,,,,17.7304579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/01/31,,,,,,,,,,,,,16.7873484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/02/29,,,,,,,,,,,,,16.8187854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/03/31,,,,,,,,,,,,,17.2274662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/04/30,,,,,,,,,,,,,17.2903401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/05/31,,,,,,,,,,,,,17.2274662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/06/30,,,,,,,,,,,,,17.60471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/07/31,,,,,,,,,,,,,17.1017183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/08/31,,,,,,,,,,,,,17.478962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/09/30,,,,,,,,,,,,,17.6675839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/10/31,,,,,,,,,,,,,17.8876428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/11/30,,,,,,,,,,,,,17.478962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760/12/31,,,,,,,,,,,,,17.60471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/01/31,,,,,,,,,,,,,17.1960292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/02/28,,,,,,,,,,,,,16.9130964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/03/31,,,,,,,,,,,,,17.2274662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/04/30,,,,,,,,,,,,,17.9819537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/05/31,,,,,,,,,,,,,18.1391387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/06/30,,,,,,,,,,,,,17.9819537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/07/31,,,,,,,,,,,,,17.7933319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/08/31,,,,,,,,,,,,,16.8502224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/09/30,,,,,,,,,,,,,16.7244745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/10/31,,,,,,,,,,,,,16.1586088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/11/30,,,,,,,,,,,,,15.718491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761/12/31,,,,,,,,,,,,,15.5298691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/01/31,,,,,,,,,,,,,14.083768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/02/28,,,,,,,,,,,,,14.3981378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/03/31,,,,,,,,,,,,,14.7125076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/04/30,,,,,,,,,,,,,14.7439446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/05/31,,,,,,,,,,,,,14.9011295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/06/30,,,,,,,,,,,,,14.8382555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/07/31,,,,,,,,,,,,,15.3412473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/08/31,,,,,,,,,,,,,17.60471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/09/30,,,,,,,,,,,,,17.8562058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/10/31,,,,,,,,,,,,,17.60471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/11/30,,,,,,,,,,,,,19.302307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762/12/31,,,,,,,,,,,,,20.3397274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/01/31,,,,,,,,,,,,,19.8681727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/02/28,,,,,,,,,,,,,21.7543916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/03/31,,,,,,,,,,,,,21.3771478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/04/30,,,,,,,,,,,,,21.6286437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/05/31,,,,,,,,,,,,,21.4400218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/06/30,,,,,,,,,,,,,21.8172656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/07/31,,,,,,,,,,,,,20.4969123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/08/31,,,,,,,,,,,,,20.3711644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/09/30,,,,,,,,,,,,,19.6795508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/10/31,,,,,,,,,,,,,19.4280549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/11/30,,,,,,,,,,,,,19.5223659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763/12/31,,,,,,,,,,,,,20.3711644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/01/31,,,,,,,,,,,,,19.7109878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/02/29,,,,,,,,,,,,,19.7738617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/03/31,,,,,,,,,,,,,19.1765591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/04/30,,,,,,,,,,,,,19.302307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/05/31,,,,,,,,,,,,,18.6106934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/06/30,,,,,,,,,,,,,18.9879372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/07/31,,,,,,,,,,,,,18.3591975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/08/31,,,,,,,,,,,,,18.4220715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/09/30,,,,,,,,,,,,,18.3277606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/10/31,,,,,,,,,,,,,18.6421304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/11/30,,,,,,,,,,,,,18.9250632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764/12/31,,,,,,,,,,,,,19.6795508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/01/31,,,,,,,,,,,,,19.0822481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/02/28,,,,,,,,,,,,,18.9879372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/03/31,,,,,,,,,,,,,19.239433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/04/30,,,,,,,,,,,,,19.4280549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/05/31,,,,,,,,,,,,,19.4909289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/06/30,,,,,,,,,,,,,20.0567946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/07/31,,,,,,,,,,,,,19.6795508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/08/31,,,,,,,,,,,,,20.1196685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/09/30,,,,,,,,,,,,,20.6855342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/10/31,,,,,,,,,,,,,20.6540972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/11/30,,,,,,,,,,,,,20.7484082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765/12/31,,,,,,,,,,,,,20.999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/01/31,,,,,,,,,,,,,20.8112821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/02/28,,,,,,,,,,,,,20.7169712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/03/31,,,,,,,,,,,,,20.4969123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/04/30,,,,,,,,,,,,,22.4460052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/05/31,,,,,,,,,,,,,23.7349215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/06/30,,,,,,,,,,,,,23.5620182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/07/31,,,,,,,,,,,,,26.9100567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/08/31,,,,,,,,,,,,,25.9040732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/09/30,,,,,,,,,,,,,28.104662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/10/31,,,,,,,,,,,,,27.8217291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/11/30,,,,,,,,,,,,,27.6016703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766/12/31,,,,,,,,,,,,,28.136099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/01/31,,,,,,,,,,,,,29.0163344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/02/28,,,,,,,,,,,,,29.2992673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/03/31,,,,,,,,,,,,,30.9339904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/04/30,,,,,,,,,,,,,32.5687134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/05/31,,,,,,,,,,,,,30.7453685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/06/30,,,,,,,,,,,,,31.56273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/07/31,,,,,,,,,,,,,31.7827889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/08/31,,,,,,,,,,,,,34.0776886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/09/30,,,,,,,,,,,,,33.22889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/10/31,,,,,,,,,,,,,33.8261927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/11/30,,,,,,,,,,,,,33.0088312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767/12/31,,,,,,,,,,,,,33.354638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/01/31,,,,,,,,,,,,,32.9773942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/02/29,,,,,,,,,,,,,33.5118229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/03/31,,,,,,,,,,,,,34.5492433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/04/30,,,,,,,,,,,,,33.7318818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/05/31,,,,,,,,,,,,,34.3291844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/06/30,,,,,,,,,,,,,34.9264871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/07/31,,,,,,,,,,,,,33.4489489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/08/31,,,,,,,,,,,,,34.5178063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/09/30,,,,,,,,,,,,,34.5178063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/10/31,,,,,,,,,,,,,34.2663105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/11/30,,,,,,,,,,,,,33.9519406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768/12/31,,,,,,,,,,,,,34.7693022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/01/31,,,,,,,,,,,,,34.5178063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/02/28,,,,,,,,,,,,,34.5806803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/03/31,,,,,,,,,,,,,34.7693022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/04/30,,,,,,,,,,,,,34.4234954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/05/31,,,,,,,,,,,,,28.9220235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/06/30,,,,,,,,,,,,,30.3052507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/07/31,,,,,,,,,,,,,28.9534605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/08/31,,,,,,,,,,,,,28.6705277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769/09/30,,,,,,,,,,,,,28.4190318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
